time elapsed,date,time,magnitude,x,y,z,field control set point,input state
15.1,05/22/2025,14:55:03.818000,6.38670356e-05,-2.37412352e-05,-2.40469004e-05,-5.4195005e-05,9.91e+37,0
15.2,05/22/2025,14:55:03.918000,6.38285748e-05,-2.35369759e-05,-2.29275178e-05,-5.47213547e-05,9.91e+37,0
15.3,05/22/2025,14:55:04.018000,6.32125691e-05,-2.35601735e-05,-2.1549965e-05,-5.45558991e-05,9.91e+37,0
15.4,05/22/2025,14:55:04.118000,6.31739764e-05,-2.40716012e-05,-2.0347808e-05,-5.47492102e-05,9.91e+37,0
15.5,05/22/2025,14:55:04.218000,6.26877606e-05,-2.410709e-05,-1.92061259e-05,-5.45868873e-05,9.91e+37,0
15.6,05/22/2025,14:55:04.318000,6.22009532e-05,-2.41050017e-05,-1.80474176e-05,-5.44260801e-05,9.91e+37,0
15.7,05/22/2025,14:55:04.418000,6.19658612e-05,-2.42474794e-05,-1.67538154e-05,-5.45081404e-05,9.91e+37,0
15.8,05/22/2025,14:55:04.518000,6.15144089e-05,-2.42174487e-05,-1.54443065e-05,-5.43967928e-05,9.91e+37,0
15.9,05/22/2025,14:55:04.618000,6.10528117e-05,-2.39193453e-05,-1.42441551e-05,-5.43361278e-05,9.91e+37,0
16.0,05/22/2025,14:55:04.718000,6.06701488e-05,-2.37905102e-05,-1.30665e-05,-5.42599775e-05,9.91e+37,0
16.1,05/22/2025,14:55:04.818000,6.19069593e-05,-2.31780542e-05,-1.26845423e-05,-5.5985282e-05,9.91e+37,0
16.2,05/22/2025,14:55:04.918000,6.30483466e-05,-2.27215821e-05,-1.34424422e-05,-5.72549078e-05,9.91e+37,0
16.3,05/22/2025,14:55:05.018000,6.38959608e-05,-2.31881422e-05,-1.47821268e-05,-5.76757539e-05,9.91e+37,0
16.4,05/22/2025,14:55:05.118000,6.42989993e-05,-2.33344066e-05,-1.59303989e-05,-5.77588883e-05,9.91e+37,0
16.5,05/22/2025,14:55:05.218000,6.4565595e-05,-2.31648398e-05,-1.71858099e-05,-5.77646448e-05,9.91e+37,0
16.6,05/22/2025,14:55:05.318000,6.48631021e-05,-2.3364626e-05,-1.83357776e-05,-5.76638147e-05,9.91e+37,0
16.7,05/22/2025,14:55:05.418000,6.5288044e-05,-2.31373803e-05,-1.94923895e-05,-5.78553116e-05,9.91e+37,0
16.8,05/22/2025,14:55:05.518000,6.5534967e-05,-2.29316224e-05,-2.07579778e-05,-5.77761106e-05,9.91e+37,0
16.9,05/22/2025,14:55:05.618000,6.57949778e-05,-2.25059813e-05,-2.19616936e-05,-5.77939782e-05,9.91e+37,0
17.0,05/22/2025,14:55:05.718000,6.60141728e-05,-2.20907233e-05,-2.31168091e-05,-5.775365e-05,9.91e+37,0
17.1,05/22/2025,14:55:05.818000,6.62761347e-05,-2.09208143e-05,-2.32145502e-05,-5.84459598e-05,9.91e+37,0
17.2,05/22/2025,14:55:05.918000,6.77674382e-05,-2.0359805e-05,-2.25923369e-05,-6.05598079e-05,9.91e+37,0
17.3,05/22/2025,14:55:06.018000,6.77830908e-05,-2.10132958e-05,-2.14118517e-05,-6.07825749e-05,9.91e+37,0
17.4,05/22/2025,14:55:06.118000,6.70027681e-05,-2.05635734e-05,-2.01701257e-05,-6.04952594e-05,9.91e+37,0
17.5,05/22/2025,14:55:06.218000,6.65576021e-05,-2.08199364e-05,-1.88835818e-05,-6.03312107e-05,9.91e+37,0
17.6,05/22/2025,14:55:06.318000,6.64788829e-05,-2.1135399e-05,-1.78793538e-05,-6.04405947e-05,9.91e+37,0
17.7,05/22/2025,14:55:06.418000,6.61129429e-05,-2.10634308e-05,-1.66325843e-05,-6.04202801e-05,9.91e+37,0
17.8,05/22/2025,14:55:06.518000,6.57082424e-05,-2.10939241e-05,-1.55118017e-05,-6.02661056e-05,9.91e+37,0
17.9,05/22/2025,14:55:06.618000,6.52665313e-05,-2.10421508e-05,-1.43841658e-05,-6.00836398e-05,9.91e+37,0
18.0,05/22/2025,14:55:06.718000,6.48439601e-05,-2.08122761e-05,-1.30999362e-05,-5.99998333e-05,9.91e+37,0
18.1,05/22/2025,14:55:06.818000,6.43513334e-05,-1.9777552e-05,-1.211288e-05,-6.00268331e-05,9.91e+37,0
18.2,05/22/2025,14:55:06.918000,6.77962027e-05,-2.0329374e-05,-1.25144064e-05,-6.34541669e-05,9.91e+37,0
18.3,05/22/2025,14:55:07.018000,6.74286307e-05,-1.93162261e-05,-1.35382417e-05,-6.31681855e-05,9.91e+37,0
18.4,05/22/2025,14:55:07.118000,6.777331e-05,-1.94543878e-05,-1.4601698e-05,-6.3257717e-05,9.91e+37,0
18.5,05/22/2025,14:55:07.218000,6.84249154e-05,-1.98685011e-05,-1.58022993e-05,-6.35413176e-05,9.91e+37,0
18.6,05/22/2025,14:55:07.318000,6.8804033e-05,-1.98429658e-05,-1.69941526e-05,-6.36510051e-05,9.91e+37,0
18.7,05/22/2025,14:55:07.418000,6.90467357e-05,-1.97237098e-05,-1.81365351e-05,-6.36356274e-05,9.91e+37,0
18.8,05/22/2025,14:55:07.518000,6.92309263e-05,-1.9471587e-05,-1.92458088e-05,-6.35875562e-05,9.91e+37,0
18.9,05/22/2025,14:55:07.618000,6.95961197e-05,-1.93687772e-05,-2.0530906e-05,-6.36156603e-05,9.91e+37,0
19.0,05/22/2025,14:55:07.718000,6.97461582e-05,-1.89298567e-05,-2.14980574e-05,-6.35926146e-05,9.91e+37,0
19.1,05/22/2025,14:55:07.818000,6.95353908e-05,-1.82624828e-05,-2.23789875e-05,-6.325214e-05,9.91e+37,0
19.2,05/22/2025,14:55:07.918000,7.18764738e-05,-1.72088264e-05,-2.19983202e-05,-6.62280732e-05,9.91e+37,0
19.3,05/22/2025,14:55:08.018000,7.15058624e-05,-1.65979234e-05,-2.0817575e-05,-6.63643419e-05,9.91e+37,0
19.4,05/22/2025,14:55:08.118000,7.0930872e-05,-1.6602711e-05,-1.97934831e-05,-6.60587361e-05,9.91e+37,0
19.5,05/22/2025,14:55:08.218000,7.12211694e-05,-1.72362931e-05,-1.87063465e-05,-6.65239639e-05,9.91e+37,0
19.6,05/22/2025,14:55:08.318000,7.06967835e-05,-1.71561418e-05,-1.76573174e-05,-6.62715711e-05,9.91e+37,0
19.7,05/22/2025,14:55:08.418000,7.02909098e-05,-1.72090897e-05,-1.64080047e-05,-6.61470832e-05,9.91e+37,0
19.8,05/22/2025,14:55:08.518000,7.01407475e-05,-1.74592482e-05,-1.52952331e-05,-6.61887827e-05,9.91e+37,0
19.9,05/22/2025,14:55:08.618000,6.96064804e-05,-1.72174168e-05,-1.41648333e-05,-6.59392157e-05,9.91e+37,0
20.0,05/22/2025,14:55:08.718000,6.91254736e-05,-1.70051684e-05,-1.30488656e-05,-6.57182049e-05,9.91e+37,0
20.1,05/22/2025,14:55:08.818000,6.86498721e-05,-1.67759616e-05,-1.19058697e-05,-6.54952083e-05,9.91e+37,0
20.2,05/22/2025,14:55:08.918000,6.82067997e-05,-1.60509185e-05,-1.16598227e-05,-6.52578277e-05,9.91e+37,0
20.3,05/22/2025,14:55:09.018000,6.81956595e-05,-1.59312629e-05,-1.244868e-05,-6.51296645e-05,9.91e+37,0
